feature,importance
num__n_trips_lag_1h,0.8270072599465523
num__n_trips_lag_168h,0.11220834355638994
num__n_trips_lag_24h,0.034083767607729604
num__n_trips_ma_24h,0.005357844644397893
num__hour_cos,0.0025133240218469734
num__humidity,0.002348978526418178
num__temp_c,0.002143866043407672
num__wind_speed,0.002130339085854327
num__dayofweek,0.0021236625111175638
num__hour,0.00199988034075148
num__hour_sin,0.0018427336036409517
num__is_holiday,0.0007926829968813599
num__month,0.0007585561824916973
cat__PULocationID_142,0.0005049797301197994
num__treated_zone,0.0002971549462948499
cat__PULocationID_236,0.0002847418856987456
num__precip_mm,0.0002798532574147407
num__did,0.00027964000420146415
cat__PULocationID_186,0.00021552730272779642
num__is_weekend,0.0002000736329745559
